selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,4,I,1,0,3.031,3.031,186.34,324.28
2,11,want,1,1,6.877,3.846,329.06,608.85
3,0,to,1,2,9.513,2.636,55.40,119.70
4,0,to,0,-1,11.684,2.171,74.04,130.18
5,9,Clear,0,-1,16.419,4.735,66.28,616.45
6,1,drink,1,3,20.649,4.230,232.59,184.67
7,3,water,1,4,23.114,2.465,60.55,338.74

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,to,1,0.00,96.00,134.00,245.50
1,0,1,drink,1,134.00,96.00,268.00,245.50
2,0,2,eat,0,268.00,96.00,402.00,245.50
3,1,0,water,1,0.00,245.50,134.00,395.00
4,1,1,I,1,134.00,245.50,268.00,395.00
5,1,2,stop,0,268.00,245.50,402.00,395.00
6,2,0,more,0,0.00,395.00,134.00,544.50
7,2,1,please,0,134.00,395.00,268.00,544.50
8,2,2,home,0,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,sleep,0,134.00,544.50,268.00,694.00
11,3,2,want,1,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","I want to drink water",7,5,2,71.43,3.731,5.223,11.49,26.11,1120.65,402.00,778.00
