=== Run 1 — communication — 2026-09-24T20:50:13Z ===
selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,4,to,0,-1,2.154,2.154,163.20,290.26
2,2,I,1,0,6.576,4.422,336.60,134.85
3,11,want,1,1,11.744,5.168,330.83,596.32
4,11,want,0,-1,15.548,3.804,323.47,625.12
5,9,Clear,0,-1,22.646,7.098,118.07,576.83
6,4,to,1,2,25.472,2.826,178.05,357.89
7,6,drink,1,3,29.703,4.231,79.11,455.79
8,10,water,1,4,34.300,4.597,247.13,621.56

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,stop,0,0.00,96.00,134.00,245.50
1,0,1,home,0,134.00,96.00,268.00,245.50
2,0,2,I,1,268.00,96.00,402.00,245.50
3,1,0,sleep,0,0.00,245.50,134.00,395.00
4,1,1,to,1,134.00,245.50,268.00,395.00
5,1,2,please,0,268.00,245.50,402.00,395.00
6,2,0,drink,1,0.00,395.00,134.00,544.50
7,2,1,more,0,134.00,395.00,268.00,544.50
8,2,2,eat,0,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,water,1,134.00,544.50,268.00,694.00
11,3,2,want,1,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","to I want to drink water",8,5,3,62.50,4.619,7.390,8.12,36.95,1123.19,402.00,778.00
