=== Run 1 — communication — 2026-09-24T20:28:33Z ===
selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,1,I,1,0,1.758,1.758,186.15,162.58
2,10,want,1,1,5.364,3.606,190.66,599.80
3,2,to,1,2,8.207,2.843,374.01,176.23
4,7,more,0,-1,12.469,4.262,208.72,497.85
5,11,drink,1,3,17.102,4.633,357.05,638.44
6,4,water,1,4,20.644,3.542,237.81,343.43

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,please,0,0.00,96.00,134.00,245.50
1,0,1,I,1,134.00,96.00,268.00,245.50
2,0,2,to,1,268.00,96.00,402.00,245.50
3,1,0,stop,0,0.00,245.50,134.00,395.00
4,1,1,water,1,134.00,245.50,268.00,395.00
5,1,2,home,0,268.00,245.50,402.00,395.00
6,2,0,sleep,0,0.00,395.00,134.00,544.50
7,2,1,more,0,134.00,395.00,268.00,544.50
8,2,2,eat,0,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,want,1,134.00,544.50,268.00,694.00
11,3,2,drink,1,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","I want to more drink water",6,5,1,83.33,3.800,4.560,13.16,22.80,1112.07,402.00,778.00
