# Per-cell
cell_idx,row,col,order,target_x_pt,target_y_pt,mean_dev_pt,mean_dev_deg,sd_pt,rms_pt,rms_deg,bias_pt,bias_deg,containment_pct,n_samples
0,0,0,1,-150.75,-291.75,22.53,1.016,24.22,24.22,1.093,10.39,0.469,100.00,38
1,0,1,3,-50.25,-291.75,41.88,1.889,33.19,33.19,1.497,30.68,1.384,94.44,36
2,0,2,2,50.25,-291.75,40.97,1.848,24.04,24.04,1.084,36.99,1.669,100.00,36
3,0,3,7,150.75,-291.75,37.44,1.689,27.35,27.35,1.234,31.20,1.407,100.00,40
4,1,0,10,-150.75,-97.25,46.40,2.093,22.28,22.28,1.005,43.43,1.959,92.50,40
5,1,1,14,-50.25,-97.25,38.37,1.731,34.95,34.95,1.577,24.62,1.111,89.19,37
6,1,2,6,50.25,-97.25,36.66,1.654,29.24,29.24,1.319,28.08,1.267,100.00,38
7,1,3,12,150.75,-97.25,38.39,1.732,19.92,19.92,0.899,34.94,1.576,97.30,37
8,2,0,8,-150.75,97.25,52.70,2.377,38.01,38.01,1.715,42.66,1.924,80.56,36
9,2,1,15,-50.25,97.25,30.20,1.362,32.01,32.01,1.444,16.07,0.725,91.67,36
10,2,2,9,50.25,97.25,49.61,2.238,22.08,22.08,0.996,46.92,2.117,100.00,35
11,2,3,16,150.75,97.25,75.59,3.410,26.89,26.89,1.213,73.34,3.308,87.50,40
12,3,0,5,-150.75,291.75,99.88,4.505,36.49,36.49,1.646,95.65,4.315,40.00,40
13,3,1,11,-50.25,291.75,82.23,3.709,22.19,22.19,1.001,80.51,3.632,86.49,37
14,3,2,13,50.25,291.75,77.53,3.497,24.46,24.46,1.103,75.06,3.386,92.31,39
15,3,3,4,150.75,291.75,96.31,4.344,26.55,26.55,1.198,94.25,4.251,61.11,36

# Samples
cell_idx,order,t_s,pred_x_pt,pred_y_pt,dev_x_pt,dev_y_pt,dev_pt,head_yaw_deg,head_pitch_deg,head_roll_deg
0,1,1.0000,-183.19,-280.97,-32.44,10.78,34.19,-179.774,4.111,-178.886
0,1,1.1085,-120.67,-279.21,30.08,12.54,32.59,-178.446,3.814,-178.635
0,1,1.2169,-164.53,-281.71,-13.78,10.04,17.05,-178.765,4.181,-179.301
0,1,1.3254,-158.69,-233.65,-7.94,58.10,58.64,-178.372,4.136,-178.843
0,1,1.4338,-134.21,-261.14,16.54,30.61,34.79,-178.371,4.047,-178.943
0,1,1.5423,-146.91,-303.30,3.84,-11.55,12.17,-178.618,3.517,-178.305
0,1,1.6508,-150.85,-311.36,-0.10,-19.61,19.61,-178.635,3.639,-178.645
0,1,1.7592,-166.57,-248.91,-15.82,42.84,45.67,-179.092,4.036,-178.384
0,1,1.8677,-153.24,-281.03,-2.49,10.72,11.00,-178.303,3.140,-179.184
0,1,1.9761,-159.84,-290.19,-9.09,1.56,9.23,-178.617,4.362,-178.123
0,1,2.0846,-182.72,-287.38,-31.97,4.37,32.27,-178.740,3.814,-178.053
0,1,2.1931,-152.41,-284.30,-1.66,7.45,7.63,-178.190,4.061,-179.048
0,1,2.3015,-138.42,-289.79,12.33,1.96,12.48,-178.735,3.852,-178.127
0,1,2.4100,-160.38,-283.96,-9.63,7.79,12.39,-177.865,4.042,-178.535
0,1,2.5184,-142.52,-255.59,8.23,36.16,37.08,-179.031,4.118,-178.379
0,1,2.6269,-150.51,-313.35,0.24,-21.60,21.60,-178.330,3.459,-178.941
0,1,2.7354,-160.36,-280.01,-9.61,11.74,15.17,-178.981,3.982,-178.323
0,1,2.8438,-143.95,-288.05,6.80,3.70,7.74,-178.643,3.289,-179.002
0,1,2.9523,-167.19,-293.67,-16.44,-1.92,16.56,-178.266,3.986,-178.147
0,1,3.0607,-173.13,-276.80,-22.38,14.95,26.91,-178.426,4.015,-178.777
0,1,3.1692,-192.21,-291.92,-41.46,-0.17,41.46,-178.820,4.211,-178.527
