# Per-cell
cell_idx,row,col,order,target_x_pt,target_y_pt,mean_dev_pt,mean_dev_deg,sd_pt,rms_pt,rms_deg,bias_pt,bias_deg,containment_pct,n_samples
0,0,0,1,-150.75,-291.75,34.14,1.540,23.04,23.04,1.039,28.95,1.306,100.00,35
1,0,1,13,-50.25,-291.75,40.16,1.812,28.91,28.91,1.304,32.24,1.454,97.14,35
2,0,2,12,50.25,-291.75,42.08,1.898,23.27,23.27,1.050,37.69,1.700,100.00,39
3,0,3,3,150.75,-291.75,35.51,1.602,21.30,21.30,0.961,31.73,1.431,91.67,36
4,1,0,14,-150.75,-97.25,41.88,1.889,21.68,21.68,0.978,38.64,1.743,81.58,38
5,1,1,11,-50.25,-97.25,46.11,2.080,28.46,28.46,1.284,40.85,1.843,100.00,35
6,1,2,6,50.25,-97.25,33.41,1.507,17.77,17.77,0.802,31.32,1.413,100.00,37
7,1,3,9,150.75,-97.25,25.02,1.129,22.24,22.24,1.003,16.42,0.740,100.00,36
8,2,0,2,-150.75,97.25,29.99,1.353,20.32,20.32,0.917,25.62,1.155,100.00,40
9,2,1,15,-50.25,97.25,44.49,2.007,26.43,26.43,1.192,39.18,1.768,94.12,34
10,2,2,16,50.25,97.25,60.47,2.728,18.19,18.19,0.821,59.22,2.672,100.00,34
11,2,3,8,150.75,97.25,54.14,2.442,27.43,27.43,1.237,49.53,2.234,97.22,36
12,3,0,10,-150.75,291.75,102.80,4.637,32.15,32.15,1.450,99.97,4.509,47.37,38
13,3,1,4,-50.25,291.75,78.39,3.536,34.24,34.24,1.545,74.68,3.369,75.68,37
14,3,2,7,50.25,291.75,121.92,5.499,31.02,31.02,1.399,119.86,5.407,16.22,37
15,3,3,5,150.75,291.75,94.33,4.255,29.10,29.10,1.313,92.65,4.179,71.43,35

# Samples
cell_idx,order,t_s,pred_x_pt,pred_y_pt,dev_x_pt,dev_y_pt,dev_pt,head_yaw_deg,head_pitch_deg,head_roll_deg
0,1,1.0000,-162.75,-289.25,-12.00,2.50,12.26,-178.391,4.207,-178.527
0,1,1.1085,-126.81,-297.66,23.94,-5.91,24.66,-178.655,3.933,-178.562
0,1,1.2169,-149.71,-232.31,1.04,59.44,59.45,-178.450,4.168,-178.577
0,1,1.3254,-183.34,-228.70,-32.59,63.05,70.97,-178.905,4.094,-178.281
0,1,1.4338,-165.05,-279.04,-14.30,12.71,19.13,-178.426,4.515,-178.851
0,1,1.5423,-172.32,-251.96,-21.57,39.79,45.26,-178.934,3.622,-178.841
0,1,1.6508,-184.27,-299.22,-33.52,-7.47,34.34,-179.172,3.745,-178.912
0,1,1.7592,-193.12,-280.09,-42.37,11.66,43.95,-178.671,3.790,-178.466
0,1,1.8677,-165.14,-272.39,-14.39,19.36,24.12,-179.375,3.938,-178.583
0,1,1.9761,-189.19,-267.17,-38.44,24.58,45.63,-179.001,3.940,-178.667
0,1,2.0846,-172.08,-266.84,-21.33,24.91,32.79,-178.483,4.197,-178.532
0,1,2.1931,-148.00,-268.42,2.75,23.33,23.49,-178.404,3.967,-178.966
0,1,2.3015,-164.52,-277.55,-13.77,14.20,19.79,-178.434,3.708,-178.501
0,1,2.4100,-169.48,-251.67,-18.73,40.08,44.24,-178.324,4.096,-179.286
0,1,2.5184,-172.34,-270.54,-21.59,21.21,30.27,-179.115,4.225,-178.373
0,1,2.6269,-179.67,-286.83,-28.92,4.92,29.34,-178.479,4.197,-178.397
0,1,2.7354,-159.39,-271.81,-8.64,19.94,21.73,-178.648,3.459,-177.855
0,1,2.8438,-148.61,-274.39,2.14,17.36,17.50,-178.790,3.952,-178.961
0,1,2.9523,-184.47,-281.66,-33.72,10.09,35.20,-178.407,3.773,-178.235
0,1,3.0607,-167.74,-252.13,-16.99,39.62,43.11,-178.625,3.997,-178.684
0,1,3.1692,-147.40,-232.89,3.35,58.86,58.95,-178.970,3.659,-178.265
0,1,3.2777,-163.29,-258.60,-12.54,33.15,35.45,-178.309,3.781,-178.173
0,1,3.3861,-184.40,-293.14,-33.65,-1.39,33.68,-178.013,4.050,-178.636
0,1,3.4946,-170.50,-272.31,-19.75,19.44,27.71,-178.177,3.933,-178.579
0,1,3.6030,-157.06,-282.70,-6.31,9.05,11.03,-178.639,3.997,-178.816
0,1,3.7115,-168.42,-231.96,-17.67,59.79,62.35,-178.336,4.078,-178.803
0,1,3.8200,-148.33,-265.43,2.42,26.32,26.43,-178.743,3.932,-178.473
0,1,3.9284,-166.46,-278.56,-15.71,13.19,20.51,-178.658,4.076,-179.078
0,1,4.0369,-163.71,-270.95,-12.96,20.80,24.50,-177.913,4.150,-177.919
