=== Run 1 — communication — 2026-09-20T16:50:22Z ===
selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,2,I,1,0,3.234,3.234,329.44,163.69
2,0,want,1,1,5.662,2.428,52.49,160.38
3,3,to,1,2,10.163,4.501,91.99,327.97
4,4,sleep,0,-1,13.414,3.251,170.42,321.82
5,8,drink,1,3,19.314,5.900,301.97,462.34
6,5,water,1,4,23.212,3.898,322.95,296.61

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,want,1,0.00,96.00,134.00,245.50
1,0,1,eat,0,134.00,96.00,268.00,245.50
2,0,2,I,1,268.00,96.00,402.00,245.50
3,1,0,to,1,0.00,245.50,134.00,395.00
4,1,1,sleep,0,134.00,245.50,268.00,395.00
5,1,2,water,1,268.00,245.50,402.00,395.00
6,2,0,home,0,0.00,395.00,134.00,544.50
7,2,1,more,0,134.00,395.00,268.00,544.50
8,2,2,drink,1,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,please,0,134.00,544.50,268.00,694.00
11,3,2,stop,0,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","I want to sleep drink water",6,5,1,83.33,4.222,5.066,11.84,25.33,1102.86,402.00,778.00
