selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,8,drink,0,-1,3.136,3.136,355.37,490.20
2,7,more,0,-1,7.341,4.205,220.62,462.25
3,9,Clear,0,-1,10.598,3.257,76.33,627.18
4,8,drink,0,-1,13.247,2.649,353.00,461.36
5,4,I,1,0,17.103,3.856,224.12,305.15
6,4,I,0,-1,19.926,2.823,178.23,318.80
7,1,want,1,1,22.747,2.821,204.99,158.79
8,11,to,1,2,29.934,7.187,339.94,670.97
9,8,drink,1,3,31.826,1.892,335.96,466.46

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,please,0,0.00,96.00,134.00,245.50
1,0,1,want,1,134.00,96.00,268.00,245.50
2,0,2,home,0,268.00,96.00,402.00,245.50
3,1,0,sleep,0,0.00,245.50,134.00,395.00
4,1,1,I,1,134.00,245.50,268.00,395.00
5,1,2,water,1,268.00,245.50,402.00,395.00
6,2,0,stop,0,0.00,395.00,134.00,544.50
7,2,1,more,0,134.00,395.00,268.00,544.50
8,2,2,drink,1,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,eat,0,134.00,544.50,268.00,694.00
11,3,2,to,1,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
0,"I want to drink water","drink drink I I want to drink",9,4,5,44.44,3.721,8.371,7.17,33.49,1103.73,402.00,778.00
