=== Run 1 — communication — 2026-09-18T14:15:39Z ===
selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,5,I,1,0,2.566,2.566,335.50,361.24
2,0,want,1,1,4.983,2.417,50.60,165.92
3,10,to,1,2,9.802,4.819,195.16,629.10
4,2,drink,1,3,13.437,3.635,355.82,175.18
5,11,water,1,4,19.530,6.093,331.31,585.19

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,want,1,0.00,96.00,134.00,245.50
1,0,1,eat,0,134.00,96.00,268.00,245.50
2,0,2,drink,1,268.00,96.00,402.00,245.50
3,1,0,home,0,0.00,245.50,134.00,395.00
4,1,1,more,0,134.00,245.50,268.00,395.00
5,1,2,I,1,268.00,245.50,402.00,395.00
6,2,0,stop,0,0.00,395.00,134.00,544.50
7,2,1,please,0,134.00,395.00,268.00,544.50
8,2,2,sleep,0,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,to,1,134.00,544.50,268.00,694.00
11,3,2,water,1,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","I want to drink water",5,5,0,100.00,4.249,4.249,14.12,21.24,1107.74,402.00,778.00
