selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,8,I,1,0,3.728,3.728,367.37,474.24
2,8,I,0,-1,8.176,4.448,334.09,503.06
3,9,Clear,0,-1,12.259,4.083,75.65,625.20
4,5,want,1,1,16.698,4.439,337.76,319.03
5,6,to,1,2,19.737,3.039,96.63,447.90
6,2,drink,1,3,22.686,2.949,327.00,149.34
7,0,water,1,4,25.651,2.965,75.10,190.69

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,water,1,0.00,96.00,134.00,245.50
1,0,1,sleep,0,134.00,96.00,268.00,245.50
2,0,2,drink,1,268.00,96.00,402.00,245.50
3,1,0,home,0,0.00,245.50,134.00,395.00
4,1,1,more,0,134.00,245.50,268.00,395.00
5,1,2,want,1,268.00,245.50,402.00,395.00
6,2,0,to,1,0.00,395.00,134.00,544.50
7,2,1,please,0,134.00,395.00,268.00,544.50
8,2,2,I,1,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,eat,0,134.00,544.50,268.00,694.00
11,3,2,stop,0,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","I want to drink water",7,5,2,71.43,4.055,5.677,10.57,28.38,1112.74,402.00,778.00
