=== Run 1 — communication — 2026-09-21T17:31:39Z ===
selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,4,I,1,0,1.781,1.781,177.22,286.41
2,8,stop,0,-1,6.386,4.605,311.19,474.52
3,7,want,1,1,11.364,4.978,232.36,448.63
4,10,to,1,2,17.909,6.545,210.52,635.69
5,1,drink,1,3,19.772,1.863,202.10,145.81
6,11,water,1,4,25.852,6.080,330.10,563.55

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,please,0,0.00,96.00,134.00,245.50
1,0,1,drink,1,134.00,96.00,268.00,245.50
2,0,2,home,0,268.00,96.00,402.00,245.50
3,1,0,eat,0,0.00,245.50,134.00,395.00
4,1,1,I,1,134.00,245.50,268.00,395.00
5,1,2,more,0,268.00,245.50,402.00,395.00
6,2,0,sleep,0,0.00,395.00,134.00,544.50
7,2,1,want,1,134.00,395.00,268.00,544.50
8,2,2,stop,0,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,to,1,134.00,544.50,268.00,694.00
11,3,2,water,1,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","I stop want to drink water",6,5,1,83.33,4.674,5.609,10.70,28.04,1119.84,402.00,778.00
