=== Run 1 — communication — 2026-09-19T15:40:12Z ===
selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,7,I,1,0,3.871,3.871,213.54,428.42
2,11,want,1,1,8.016,4.145,321.17,614.06
3,2,to,1,2,10.293,2.277,325.52,140.21
4,2,to,0,-1,13.351,3.058,335.73,200.69
5,9,Clear,0,-1,17.278,3.927,44.40,616.37
6,10,drink,1,3,22.670,5.392,234.38,611.06
7,3,water,1,4,26.904,4.234,51.89,297.85

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,eat,0,0.00,96.00,134.00,245.50
1,0,1,sleep,0,134.00,96.00,268.00,245.50
2,0,2,to,1,268.00,96.00,402.00,245.50
3,1,0,water,1,0.00,245.50,134.00,395.00
4,1,1,please,0,134.00,245.50,268.00,395.00
5,1,2,more,0,268.00,245.50,402.00,395.00
6,2,0,stop,0,0.00,395.00,134.00,544.50
7,2,1,I,1,134.00,395.00,268.00,544.50
8,2,2,home,0,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,drink,1,134.00,544.50,268.00,694.00
11,3,2,want,1,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","I want to drink water",7,5,2,71.43,4.148,5.807,10.33,29.04,1113.00,402.00,778.00
