t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0225,1,9,2,1,150.75,486.25,dwell,165.43,414.98,72.77,1,179.346,6.349,179.256,-19.70,21.50,148.67,-19.60,-7.69,174.81,53.075,54.003,-25.9712,-5.7665,165.43,414.98,-25.9712,-5.7665,,,0.23022,0
0.1241,1,9,2,1,150.75,486.25,dwell,192.28,415.07,82.41,1,179.136,6.313,179.142,-19.75,21.50,148.45,-19.81,-7.82,174.50,53.988,53.584,-27.5045,-5.0757,192.28,415.07,-27.0067,-5.3687,,,0.22229,0
0.2245,1,9,2,1,150.75,486.25,dwell,174.97,412.11,78.00,1,179.079,6.375,179.005,-19.78,21.49,148.52,-19.79,-7.74,174.47,53.413,53.617,-26.0123,-4.8223,174.97,412.11,-26.5627,-5.0340,,,0.21919,0
0.3229,1,9,2,1,150.75,486.25,dwell,159.50,410.97,75.78,1,178.780,6.485,178.629,-19.75,21.46,148.68,-19.85,-7.85,174.76,52.829,53.980,-26.0015,-5.6440,159.50,410.97,-26.2516,-5.2966,,,0.22673,0
0.4210,1,9,2,1,150.75,486.25,dwell,152.96,447.04,39.27,1,178.663,6.512,179.304,-19.72,21.47,148.91,-19.65,-8.09,175.28,52.703,53.599,-27.1203,-6.4745,152.96,447.04,-26.7179,-6.0440,,,0.22455,0
0.5230,1,9,2,1,150.75,486.25,dwell,171.46,414.01,75.15,1,178.873,6.489,179.410,-19.89,21.50,149.04,-19.89,-7.96,175.25,52.907,52.886,-25.7403,-4.6565,171.46,414.01,-26.1575,-5.2521,,,0.24000,0
0.6230,1,9,2,1,150.75,486.25,dwell,157.19,438.01,48.67,1,179.538,6.395,179.759,-19.89,21.56,148.71,-20.00,-7.78,175.00,52.973,54.248,-27.2879,-6.0310,157.19,438.01,-26.8104,-5.6561,,,0.23337,0
0.7247,1,9,2,1,150.75,486.25,dwell,156.06,453.40,33.28,1,179.616,6.416,179.816,-19.88,21.55,148.57,-19.94,-7.74,174.56,53.352,53.285,-27.7153,-5.7698,156.06,453.40,-27.4058,-5.7147,,,0.23219,0
0.8239,1,9,2,1,150.75,486.25,dwell,161.02,448.42,39.20,1,179.692,6.377,179.752,-19.86,21.60,148.40,-19.85,-7.57,174.38,53.345,53.816,-27.1368,-5.2469,161.02,448.42,-27.2582,-5.4851,,,0.21776,0
0.9253,1,9,2,1,150.75,486.25,dwell,172.63,453.18,39.66,1,178.767,6.276,179.355,-19.80,21.59,148.42,-19.97,-7.67,174.62,53.340,54.795,-27.6258,-5.8277,172.63,453.18,-27.4708,-5.6496,,,0.22077,0
1.0230,1,9,2,1,150.75,486.25,capture,142.30,432.80,54.12,1,179.278,6.469,179.388,-19.78,21.57,148.59,-19.98,-7.66,174.68,53.052,53.317,-26.4174,-6.0626,142.30,432.80,-26.8845,-5.8729,,,0.21950,0
1.1237,1,9,2,1,150.75,486.25,capture,172.12,437.44,53.28,1,179.282,6.321,179.307,-19.75,21.53,148.37,-19.82,-7.81,174.50,53.579,53.528,-26.7180,-5.3152,172.12,437.44,-26.7927,-5.6002,,,0.22773,0
1.2240,1,9,2,1,150.75,486.25,capture,177.60,458.41,38.68,1,178.825,6.289,179.157,-19.82,21.57,148.04,-19.86,-7.75,173.83,53.470,54.053,-27.9923,-4.8329,177.60,458.41,-27.5104,-5.1363,,,0.23664,0
1.3227,1,9,2,1,150.75,486.25,capture,175.03,455.30,39.34,1,179.253,6.301,179.501,-19.81,21.56,147.72,-19.86,-7.67,173.53,54.597,54.367,-27.5078,-5.2267,175.03,455.30,-27.5090,-5.1844,,,0.22898,0
1.4243,1,9,2,1,150.75,486.25,capture,166.83,452.92,37.00,1,179.464,6.216,179.681,-19.86,21.56,147.82,-20.04,-7.73,173.55,53.602,54.420,-28.2661,-5.2303,166.83,452.92,-27.9850,-5.2070,,,0.23006,0
1.5227,1,9,2,1,150.75,486.25,capture,172.96,501.67,27.04,1,179.499,6.222,179.821,-19.82,21.59,148.22,-19.94,-7.71,174.22,53.675,54.394,-29.6198,-4.8280,172.96,501.67,-29.1744,-5.0015,,,0.22162,0
1.6217,1,9,2,1,150.75,486.25,capture,171.48,450.88,40.99,1,179.005,6.172,179.817,-19.83,21.60,148.15,-19.92,-7.59,174.12,53.626,54.145,-27.9148,-4.1644,171.48,450.88,-28.5847,-4.4714,,,0.23777,0
1.7190,1,9,2,1,150.75,486.25,capture,154.44,472.68,14.06,1,178.860,6.073,-179.921,-19.81,21.61,148.37,-19.87,-7.82,174.47,53.120,53.851,-27.8631,-6.3134,154.44,472.68,-28.1832,-5.6241,,,0.24278,0
