selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,11,eat,0,-1,3.884,3.884,365.97,598.66
2,10,I,1,0,7.009,3.125,203.63,617.07
3,3,want,1,1,12.286,5.277,82.57,329.46
4,1,to,1,2,14.254,1.968,208.66,177.87
5,7,drink,1,3,16.487,2.233,187.79,460.21
6,3,want,0,-1,18.426,1.939,101.97,371.48
7,6,water,1,4,22.883,4.457,71.17,416.49

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,sleep,0,0.00,96.00,134.00,245.50
1,0,1,to,1,134.00,96.00,268.00,245.50
2,0,2,home,0,268.00,96.00,402.00,245.50
3,1,0,want,1,0.00,245.50,134.00,395.00
4,1,1,please,0,134.00,245.50,268.00,395.00
5,1,2,more,0,268.00,245.50,402.00,395.00
6,2,0,water,1,0.00,395.00,134.00,544.50
7,2,1,drink,1,134.00,395.00,268.00,544.50
8,2,2,stop,0,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,I,1,134.00,544.50,268.00,694.00
11,3,2,eat,0,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","eat I want to drink want water",7,5,2,71.43,3.509,4.912,12.21,24.56,1126.28,402.00,778.00
