=== Run 1 — communication — 2026-09-18T14:59:27Z ===
selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,5,I,1,0,3.320,3.320,307.74,327.06
2,6,want,1,1,6.673,3.353,55.08,394.68
3,2,to,1,2,9.186,2.513,319.86,206.28
4,4,drink,1,3,13.099,3.913,183.09,305.37
5,1,water,1,4,15.453,2.354,178.72,156.67

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,please,0,0.00,96.00,134.00,245.50
1,0,1,water,1,134.00,96.00,268.00,245.50
2,0,2,to,1,268.00,96.00,402.00,245.50
3,1,0,stop,0,0.00,245.50,134.00,395.00
4,1,1,drink,1,134.00,245.50,268.00,395.00
5,1,2,I,1,268.00,245.50,402.00,395.00
6,2,0,want,1,0.00,395.00,134.00,544.50
7,2,1,home,0,134.00,395.00,268.00,544.50
8,2,2,eat,0,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,more,0,134.00,544.50,268.00,694.00
11,3,2,sleep,0,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","I want to drink water",5,5,0,100.00,3.691,3.691,16.25,18.46,1113.74,402.00,778.00
